Fecha;Temp Media (ºC);Temp Max (ºC);Hora Temp Max;Temp Mínima (ºC);Hora Temp Min;Humedad Media (%);Humedad Max (%);Hora Hum Max;Humedad Min (%);Hora Hum Mín;Velviento (m/s);DirViento (º);VelVientoMax (m/s);Hora VelMax;Dir viento Vel Max (º);Radiación (MJ/m2);Precipitación (mm);PePMon;EtPMon
01/01/2008;3,4;13,1;13:40;-4,46;4:00;73,8;95,4;3:10;28,8;13:40;1,36;51,43;3,95;14:55;140,9;10,35;0,2;0;1,27
02/01/2008;6,71;11,47;15:20;2,31;0:10;75,3;90,7;21:20;64,78;12:20;1,26;310,5;7,3;14:41;252,9;3,41;0,8;0;0,84
03/01/2008;6,65;11,4;13:00;1,97;1:50;74,5;87,9;10:50;58,44;14:10;1,52;235,1;7,05;13:18;300,2;5,02;2,4;0;0,99
04/01/2008;3,96;10,5;13:50;-1,04;6:30;73,1;92,1;7:00;47,47;14:20;1,42;21,33;6,23;13:04;37,19;10,67;0;0;1
05/01/2008;6,29;15,97;14:10;-1,78;1:40;64,48;85,2;2:00;30,47;13:20;1,31;16,61;5,64;14:06;231,1;9,9;0;0;1,42
06/01/2008;11,28;18,83;14:40;5,18;4:00;68,06;86,1;4:40;47,09;14:30;1,26;347,7;4,48;10:33;262,6;11,01;0;0;1,34
07/01/2008;10,3;20,84;13:40;3,91;6:50;59,13;82,4;0:20;24,69;13:40;1,44;49,21;3,86;8:16;41,64;11,22;0;0;1,91
08/01/2008;7,34;10,44;14:40;2,31;7:20;84,9;90;7:30;78,6;0:00;0,85;96,3;2,76;3:20;46,32;3,64;0;0;0,65
09/01/2008;9,81;13,11;14:10;7,86;4:10;76,9;87,5;4:00;57,75;14:20;0,62;33,46;2,59;8:07;4,2;4,34;0;0;0,81
10/01/2008;9,45;15,23;13:20;4,1;23:10;76,1;91,8;23:50;48,12;13:20;1,08;76,7;3,96;16:58;130,2;9,52;0;0;1,09
11/01/2008;8,95;15,11;12:50;2,24;7:20;71,4;94,8;7:40;39,13;12:50;2,14;318,7;7,25;19:36;261,9;11,12;0,2;0;1,62
12/01/2008;5,48;13,36;14:30;-1,77;6:10;52,22;79,4;6:00;24,1;13:50;1,42;23;5,36;0:06;278,2;11,76;0;0;1,46
13/01/2008;5,37;14,64;13:50;-2,04;5:10;57,98;82,9;7:10;22,02;12:30;1,56;35,52;4,8;18:14;266,1;11,93;0;0;1,66
14/01/2008;6,43;13,6;12:20;0,7;0:00;69,09;84,7;7:30;44,33;15:10;1,34;30,09;5,56;9:25;209,9;4,99;0;0;1,24
15/01/2008;6,48;13,65;15:10;-0,64;7:40;64,24;87,7;7:10;36,52;13:40;1,76;318,6;5,75;22:34;295,3;10,57;0;0;1,51
16/01/2008;10,6;16,99;12:20;2,57;23:30;54,04;75,8;6:20;32,22;15:50;3,02;288,7;10,97;14:05;310,4;9,8;0;0;2,46
17/01/2008;9,38;17,04;14:00;0,3;2:10;56,27;85,2;3:00;29,39;13:50;1,6;310,1;5,33;15:10;224,5;11,54;0;0;1,74
18/01/2008;10,92;20,24;13:40;4,65;0:00;58,91;82,9;0:00;34,35;13:40;1,58;12,28;5,01;5:04;50,99;11,88;0;0;1,93
19/01/2008;8,97;17,04;12:30;2,84;23:30;69,97;86,2;5:40;45,63;14:10;1,6;74;4,8;12:39;94,8;12,07;0;0;1,57
20/01/2008;8,36;17,63;14:00;0,77;6:20;69,89;91,2;7:20;43,61;14:00;1,51;81,6;5,2;10:51;164,5;12,26;0;0;1,58
21/01/2008;10,17;20,83;14:00;2,64;6:30;62,56;85,6;6:50;30,19;13:40;1,37;46,94;3,7;23:52;36,38;12,4;0;0;1,91
22/01/2008;12,41;21,37;15:30;3,99;5:20;42,45;73,9;5:20;18,78;14:20;1,59;26,46;7,7;11:23;5,24;12,57;0;0;2,3
23/01/2008;8,69;16,1;12:20;1,36;0:00;59,96;90,9;0:00;32,81;12:20;1,59;80,3;5,67;13:23;167,3;12,24;0;0;1,7
24/01/2008;6,56;14,24;13:50;-0,11;2:40;80,4;94,9;5:00;48,87;14:00;1,35;93,6;5,01;11:50;155,9;11,26;0;0;1,29
25/01/2008;6,31;11,79;15:40;-0,17;21:40;77,1;90,5;6:30;51,37;16:30;1,09;72,8;3,88;11:30;102;5,11;0;0;1,02
26/01/2008;4,71;10,98;14:20;-0,64;1:00;81;94,2;5:30;61,13;15:40;0,96;35,66;2,91;23:23;55,11;4,72;0,2;0;0,85
27/01/2008;5,29;11,57;14:20;1,24;22:20;78,4;91;6:40;56,61;15:20;1,25;34,91;4,23;10:20;41,81;5,48;0;0;1,03
28/01/2008;6,28;16,97;14:20;-1,31;3:50;54,57;88,3;4:00;19,06;13:50;1,36;65,99;4,4;15:38;150,7;13,25;0;0;1,9
29/01/2008;7,14;15,9;13:00;0,37;7:00;48,88;68,43;19:20;27,07;10:10;1,57;48,73;4,99;13:05;187,3;13,35;0;0;1,95
30/01/2008;8,84;18,56;14:40;1,03;7:00;48,16;72,2;7:00;16,64;14:50;1,38;56,23;5,17;15:50;164,4;13,56;0;0;2,11
31/01/2008;6,49;14,1;13:40;0,1;4:50;62,32;90,3;20:20;33,9;12:30;1,39;77,6;4,89;15:09;192,3;12,9;0;0;1,59
01/02/2008;7,39;16,84;13:30;-0,03;6:50;59,04;88;0:20;21,74;13:30;1,58;55,52;6,03;13:21;173;13,41;0;0;2,06
02/02/2008;8,38;15,31;15:10;1,5;7:30;57,63;82,6;0:00;31,82;15:10;1,3;58,29;4,68;16:10;182,2;13,39;0;0;1,7
03/02/2008;6,53;13,03;13:50;0,3;4:10;77,6;92,4;22:10;53,16;13:50;1,62;95;5,88;15:10;120,4;12,27;0;0;1,42
04/02/2008;10,06;15,71;13:20;2,31;23:10;55,08;75,6;7:30;29,26;13:00;1,68;294,6;6,98;4:52;300,8;12,76;0;0;2
05/02/2008;7,65;17,5;16:00;0,64;6:10;62,01;84,3;7:30;32,81;16:00;1,37;46,43;3,98;10:30;250,1;14,4;0;0;1,94
06/02/2008;9,07;18,49;15:20;2,51;5:10;62,43;83,9;20:50;29,05;14:20;1,44;61,97;5,08;16:05;115,6;14,61;0;0;2,12
07/02/2008;6,86;15,5;13:30;-0,03;5:40;67,76;90,3;5:50;31,28;13:20;1,57;71,3;5,34;12:58;145,4;13,83;0;0;1,92
08/02/2008;6,83;16,17;14:30;1,04;5:40;68,51;90,5;23:00;33,28;14:40;1,65;61,47;5,16;15:28;166,2;14,98;0;0;2,04
09/02/2008;4,66;13,36;13:30;-2,58;5:30;73,2;94,4;5:40;41,55;14:10;1,37;84;5,64;14:52;182,5;14,34;0,2;0;1,6
10/02/2008;3,74;12,69;14:20;-3,99;7:00;75,8;93,2;5:10;47,26;15:30;1,26;73,6;5,14;12:25;152,6;14,61;0;0;1,48
11/02/2008;4,22;11,5;14:30;-1,98;4:50;74,9;92,9;5:30;50,69;14:30;1,44;62,78;4,96;14:24;149,3;10,49;0;0;1,36
12/02/2008;6,25;10,45;12:50;1,1;7:00;73,7;88,5;21:10;53,69;10:30;1,61;67,34;6,31;12:59;37,11;6,4;0,4;0;1,25
13/02/2008;6,57;8,13;10:30;4,51;4:40;75,4;84,5;1:30;66,4;10:40;2,72;68,26;8,52;17:47;110,9;3,49;0,2;0;1,17
14/02/2008;8,93;12,19;12:50;6,65;2:50;73,5;84;10:10;57,28;14:30;2,54;58,24;7,98;13:41;73,2;5,71;0;0;1,57
15/02/2008;8,83;12,64;15:10;4,17;21:50;75,4;89,6;22:20;59,16;15:20;1,77;19,59;5,71;11:46;44,27;6,65;0;0;1,35
16/02/2008;6,75;11,18;12:00;0,1;0:00;77,9;93,8;23:00;59,03;12:20;1,23;70,3;4,7;13:13;120,5;4,88;0;0;1,07
17/02/2008;5,72;9,79;12:40;-1,04;2:20;79,9;92,9;2:40;61,14;12:30;1,91;66,18;6,88;13:15;94;5,41;2,4;0;1,15
18/02/2008;8,3;9,72;14:30;6,45;0:40;90,9;93,2;0:00;89;16:00;0,58;291,2;3,23;1:57;40,18;2,02;0,4;0;0,63
19/02/2008;8,34;10,85;12:30;4,04;21:20;91,9;94,4;22:00;85,6;12:30;0,85;92,5;3,53;14:28;143,9;2,89;0,2;0;0,71
20/02/2008;9,52;17,57;12:40;3,78;4:30;81,7;94,6;1:30;48,45;13:00;1,23;44,89;4,9;12:02;242,1;10,13;0,4;0;1,71
21/02/2008;8,54;12,86;15:20;4,38;23:40;89,9;94,3;21:40;67,24;15:20;1,02;98,6;4,49;16:35;139,1;4,15;0;0;0,99
