Fecha;Temp Media (ºC);Temp Max (ºC);Hora Temp Max;Temp Mínima (ºC);Hora Temp Min;Humedad Media (%);Humedad Max (%);Hora Hum Max;Humedad Min (%);Hora Hum Mín;Velviento (m/s);DirViento (º);VelVientoMax (m/s);Hora VelMax;Dir viento Vel Max (º);Radiación (MJ/m2);Precipitación (mm);PePMon;EtPMon
01/01/2008;6,18;15,01;15:00;0,51;7:10;74,8;89,8;21:40;36,05;14:30;1,84;248;4,81;12:16;228,9;10,36;0;0;1,57
02/01/2008;6,04;12,12;16:00;0,57;3:30;84,1;95,6;19:10;63,19;12:50;1,35;256,2;4,64;21:19;252,7;3,62;1,2;0;0,87
03/01/2008;8,86;13,65;14:00;4,71;5:00;74,6;90,2;11:20;53,32;16:10;1,6;244,6;7,26;14:07;256,2;4,22;1;0;1,16
04/01/2008;7,82;14,07;13:40;3,32;5:10;67,33;88,1;7:20;39,81;12:30;1,16;259,7;6,1;14:11;46,53;10,43;0;0;1,14
05/01/2008;8,93;16,94;15:30;2,32;3:10;63,15;82,6;3:10;33,9;15:30;1,4;258,6;4,07;11:16;233;10,25;0;0;1,51
06/01/2008;12,8;21,39;14:00;6,05;7:10;68,12;90,8;22:20;44,59;14:00;1;315,9;4,18;15:31;63,88;10,58;0;0;1,33
07/01/2008;11,66;19,33;15:30;6,72;6:00;69,6;87,9;19:00;40,51;14:30;1,2;268,3;3,4;6:38;266,1;10,71;0;0;1,43
08/01/2008;9,63;12,97;14:40;4,45;2:30;85,9;94,8;5:30;73,8;13:20;0,7;232,8;3,11;10:38;242,5;2,99;0;0;0,68
09/01/2008;12,47;16,96;14:50;10,11;5:20;80,6;92,4;3:00;53,21;14:50;0,92;250,6;3,5;12:09;207,2;5,71;0;0;1,05
10/01/2008;12,02;16,41;14:20;7,71;0:00;78,9;91,5;23:30;55,74;15:00;0,86;272,4;3;14:37;47,09;8,38;0;0;1,01
11/01/2008;12,09;19,28;14:00;5,32;6:20;66,26;92,2;0:40;31,48;13:50;2,43;244,8;9,59;15:26;264,3;10,6;0;0;2,27
12/01/2008;8,98;15,28;14:10;2,05;6:00;53,79;85,1;6:10;27,14;14:30;1,53;260,9;6,25;13:08;73,6;11,41;0;0;1,58
13/01/2008;7,17;15,54;16:00;0,98;7:40;66,69;85;21:30;38,53;15:50;1,45;243,6;4;14:34;93,2;11,4;0;0;1,46
14/01/2008;8,23;14,57;12:30;3,18;6:40;72;84,1;6:50;49,27;20:10;1,38;251,4;3,83;0:17;261,6;4,68;0;0;1,25
15/01/2008;9,1;16,41;14:20;2,65;7:20;66,73;85,4;7:30;36,91;14:20;1,87;248,7;4,47;13:45;218,7;10,58;0;0;1,76
16/01/2008;12,77;21,36;13:20;6,12;5:00;51,6;78,5;5:00;25,31;15:00;2,81;273,4;13,74;14:59;267,3;9,38;0;0;3,09
17/01/2008;13,31;18,81;14:10;7,45;0:00;48,95;73,7;23:40;30,68;13:00;2,04;250,9;10,8;2:04;284,8;11;0;0;2,22
18/01/2008;12,19;20,92;14:10;4,12;5:50;63,49;86,8;6:10;34,23;12:00;1,34;237;5,29;13:28;56,09;11,43;0;0;1,79
19/01/2008;11,04;19,12;13:30;6,32;6:20;70,3;85,5;21:50;44,99;14:00;1,49;248,8;3,94;14:47;98,8;11,61;0;0;1,68
20/01/2008;10,46;18,99;14:40;5,05;6:30;70,5;86,8;3:40;43,19;15:20;1,49;266,3;4,75;14:40;89,7;11,95;0;0;1,71
21/01/2008;11,5;21,86;13:40;4,85;7:30;71,1;86,6;18:30;33,74;13:40;1,82;249,1;4,11;9:58;234,2;11,82;0;0;2,3
22/01/2008;13,96;23,58;14:50;8,2;6:40;51,72;74,7;0:20;19,41;15:10;1,34;249,7;3,7;4:50;247,9;12,13;0;0;2,3
23/01/2008;11,12;17,8;13:50;4,84;7:40;62,93;92,1;22:30;43,16;10:50;1,25;255,4;5,02;14:31;40,42;11,62;0;0;1,5
24/01/2008;8,82;16,06;14:50;3,65;4:50;80,3;93,9;23:10;58,07;14:00;1,27;238,6;3,29;6:38;259,7;10,89;0;0;1,26
25/01/2008;9,44;15,37;14:50;5,18;20:40;78,9;91;0:00;51,08;15:00;1,12;288,6;4,25;11:28;52,19;7,19;0;0;1,21
26/01/2008;8,73;14,56;13:30;4,85;0:30;77,8;92,2;0:40;56,42;14:40;0,92;276,2;3,21;13:46;50,06;6,86;0;0;1,05
27/01/2008;7,76;14,43;15:50;3,52;6:10;77,1;88,7;19:50;53,63;15:30;1,25;262,5;3,88;15:22;34,65;5,47;0;0;1,19
28/01/2008;8,03;16,74;15:30;1,44;7:40;69,86;89,9;4:30;28,13;15:10;1,51;252,1;3,64;8:42;237,5;12,89;0;0;1,87
29/01/2008;8,37;16,26;13:40;2,18;7:20;64,51;87,3;21:00;30,22;12:20;1,59;258,9;3,78;15:03;86,6;12,7;0;0;1,88
30/01/2008;10,15;19,92;15:10;4,45;3:20;61,58;86,5;21:50;24,24;15:40;1,4;254,7;3,4;9:40;243,2;12,94;0;0;2,13
31/01/2008;8,05;15,4;15:00;0,58;7:20;75,1;94,7;23:00;51,52;14:10;1,08;244;4,18;15:37;134,2;11,31;0;0;1,31
01/02/2008;9,11;17,74;14:40;1,85;7:30;75;93,2;0:10;43,47;14:40;1,66;253,7;5,03;15:00;236,3;12,5;0;0;1,83
02/02/2008;11,76;17,79;14:30;4,98;7:40;55,92;85,2;0:00;32,41;14:30;0,98;214,6;3,94;18:26;265,3;12,94;0;0;1,63
03/02/2008;9,06;16,47;14:50;3,98;1:30;76,6;93,9;22:50;47,03;14:50;1,32;240;5,21;14:05;100,3;12,49;0;0;1,59
04/02/2008;12,2;19,2;15:00;6,79;22:00;60,87;89,9;0:10;28,8;16:10;1,37;279,5;6,35;11:02;63,06;12,53;0;0;2,03
