Fecha;Temp Media (ºC);Temp Max (ºC);Hora Temp Max;Temp Mínima (ºC);Hora Temp Min;Humedad Media (%);Humedad Max (%);Hora Hum Max;Humedad Min (%);Hora Hum Mín;Velviento (m/s);DirViento (º);VelVientoMax (m/s);Hora VelMax;Dir viento Vel Max (º);Radiación (MJ/m2);Precipitación (mm);PePMon;EtPMon
01/01/2008;5,67;14,15;13:10;0,08;6:50;78,9;95;22:50;33,77;12:50;1,33;105,3;4,98;14:13;196,8;9,62;0,2;0;1,27
02/01/2008;6,99;12,42;15:10;0,21;5:20;79,3;94,2;0:10;60,63;22:40;1,53;186,6;6,6;22:35;232,2;3,7;0,4;0;0,96
03/01/2008;9,29;12,96;13:00;4,8;0:00;69,55;87,2;7:10;53,91;14:30;1,93;208,1;9,93;13:22;300,7;3,33;0,8;0;1,25
04/01/2008;7,5;13,33;14:10;3,04;0:30;65,71;88,4;0:40;40,2;14:00;1,74;66,22;7,49;12:19;351,5;9,87;0;0;1,38
05/01/2008;8,54;17,53;15:10;2,49;5:50;59,47;83,3;6:00;26,94;13:00;1,17;93,1;3,88;8:17;88,3;7,61;0;0;1,51
06/01/2008;13,76;22,75;14:50;6,08;0:20;65,33;83,2;18:30;39,76;14:50;1,2;90;3,72;15:52;346,2;9,83;0;0;1,62
07/01/2008;12,07;19,79;13:10;6,55;20:30;64,22;91,1;21:40;33,55;13:20;1,35;63,68;4,47;0:55;90,8;9,96;0;0;1,62
08/01/2008;9;11,54;14:50;4,66;2:40;88,9;96,6;6:30;74,5;0:20;0,48;93,5;2,09;11:01;21,16;1,64;0;0;0,6
09/01/2008;11,82;15,5;14:30;9,79;4:30;79,7;93,5;0:00;57,6;14:20;0,75;136,7;3,27;15:22;203,1;5,43;0;0;0,9
10/01/2008;11,55;17,03;13:40;5,54;23:30;78;95,4;0:00;47,96;13:40;0,8;121,2;3,46;14:14;26,61;8,01;0;0;1,03
11/01/2008;11,14;17,65;12:50;2,37;6:30;69,39;98,2;7:30;37,83;13:10;2,12;196,3;10,68;18:21;264;9,03;0;0;1,8
12/01/2008;8,67;15,82;15:10;2,17;5:40;55,88;89,7;22:40;22,12;15:10;1,44;85,7;5,64;11:04;297,5;10,62;0;0;1,62
13/01/2008;6,77;15,22;13:10;-0,8;7:20;66;89,7;7:30;34,11;12:40;1,13;118,1;4,92;14:08;187,3;10,55;0;0;1,29
14/01/2008;7,66;14,64;13:10;1,76;4:10;74,6;88,7;4:10;54,3;13:10;1,01;92,4;3,4;15:08;91,4;3,85;0;0;1,01
15/01/2008;8,86;15,43;12:50;3,8;7:20;66,75;82,1;4:40;37,77;12:50;1,46;139;5,39;12:13;242,9;9,28;0;0;1,51
16/01/2008;13,46;19,55;13:50;5,48;0:10;48,59;77,3;0:10;27,75;16:10;3,44;238;12,62;13:08;295,9;7,09;0;0;3,06
17/01/2008;11,52;19,13;15:00;6,15;6:50;56,94;84,6;20:20;28,01;14:00;1,29;103,7;5,51;2:19;94,2;10,52;0;0;1,73
18/01/2008;12,83;21,08;12:40;6,15;23:50;58,7;86,3;23:30;32,33;12:20;1,4;93,8;4,82;7:33;300;10,63;0;0;1,87
19/01/2008;10,62;19,59;14:40;4,46;4:20;71,7;89,5;4:40;45,25;15:20;1,01;100,1;3,39;15:59;204,9;10,7;0;0;1,4
20/01/2008;10,14;19,45;15:20;3,79;3:10;70,8;92,6;2:40;42,75;15:20;0,99;88,8;3,91;16:02;193,2;11,01;0;0;1,4
21/01/2008;10,86;20,81;12:40;2,64;6:30;68,42;93,7;6:40;33,35;12:40;1,25;124,8;4,59;15:03;239,2;10,88;0;0;1,76
22/01/2008;14,48;24,16;15:10;8,04;2:40;46,84;70,3;2:40;18,59;15:10;1,24;99,1;4,32;11:52;63,29;11,25;0;0;2,25
23/01/2008;10,88;17,92;12:20;4,66;23:40;64,16;96,2;23:40;38,35;0:20;1,33;113,8;5,49;15:25;118,4;9,51;0;0;1,57
24/01/2008;8,11;15,76;15:00;2,17;6:20;84,3;98;5:50;57,79;14:50;0,95;125,8;4,47;15:20;187,3;8,09;0;0;1,07
25/01/2008;8,67;13,96;14:10;4,39;20:10;79,8;93;22:40;39,88;15:40;1,08;67,07;4,14;11:19;17,12;4,65;0;0;1,21
26/01/2008;8,04;13,28;15:10;3,11;0:00;78,5;92,3;0:00;60,32;15:30;0,91;65,59;3,9;12:40;23,56;5,29;0;0;0,95
27/01/2008;7,04;12,41;15:00;2,64;22:40;78,3;93,3;0:10;60,2;15:00;1,15;83,9;3,71;15:05;46,06;3,53;0,2;0;0,95
28/01/2008;7,31;16,83;14:40;-0,46;6:40;70,7;96,8;7:00;27,4;13:50;0,94;76,7;3,41;13:11;323,8;11,8;0;0;1,47
29/01/2008;8,13;16,63;13:40;3,25;0:00;65,17;93,9;21:40;39,88;10:50;1,25;100,6;4,26;14:29;259,9;11,42;0;0;1,56
30/01/2008;10,34;20,39;14:30;1,63;3:00;56,59;93,4;0:20;20,43;13:30;1,22;99,4;4,98;14:56;222;11,97;0;0;2
31/01/2008;8,03;15,08;14:20;0,55;6:50;73,3;96,7;23:30;54,53;13:40;1,1;95,4;4,41;15:53;192;10,25;0;0;1,25
01/02/2008;8,11;16,29;12:50;0,35;6:20;77,9;98,2;6:30;46,49;12:30;1,23;148,3;5,87;13:35;202;11,59;0,2;0;1,47
02/02/2008;10,85;17,1;13:50;4,46;23:50;57,62;84,4;0:00;33,42;14:10;1,46;122,7;5,9;15:30;180,9;11,86;0;0;1,87
03/02/2008;8,43;14,75;13:00;2,51;4:40;80,8;95,7;3:00;53,67;12:40;1,58;149,4;6,05;14:38;199,4;11;0;0;1,46
04/02/2008;12,96;19,07;15:00;6,35;0:00;53,64;93,6;0:20;26,86;15:40;2,38;274,9;7,8;8:29;232,8;11,95;0;0;2,58
05/02/2008;9,87;18,23;15:00;2,57;6:20;65,14;93,1;23:40;34,63;14:40;1,29;107,1;4,16;16:34;204,6;12,74;0;0;1,85
06/02/2008;9,82;19,86;14:30;2,17;6:50;70,9;95,9;2:40;33,75;14:20;1,17;83,1;4,47;14:27;2,4;12,93;0;0;1,9
07/02/2008;8,91;16,9;14:20;3,72;5:20;69,07;94;0:20;41,61;14:00;1,42;79,7;5,23;11:58;49,68;12,43;0,2;0;1,78
08/02/2008;9,26;16,9;14:30;2,92;7:10;70,9;93;20:30;41,61;14:00;1,67;51,65;5,42;13:38;354,5;13,15;0;0;1,92
09/02/2008;8,88;14,75;13:30;4,53;20:40;72,9;91,9;2:10;38,57;15:40;1,53;43,95;6,09;11:51;88,1;11,71;0;0;1,76
10/02/2008;7,75;14,08;14:10;3,92;5:30;72,5;87;22:10;48,06;14:00;1,3;51,33;5,64;15:16;50,17;10,13;0;0;1,51
11/02/2008;8,82;12,34;14:30;5,2;2:20;69,75;84,9;3:20;52,88;14:10;1,4;40,31;5,11;11:02;17,79;6,67;0;0;1,34
12/02/2008;8,73;12,41;12:10;5,47;5:00;79,1;91,4;19:00;58,71;12:10;1,69;39,28;6,24;12:30;10,67;4,73;0;0;1,23
13/02/2008;8,49;10;14:00;5,88;6:50;82,7;91,7;15:40;67,88;10:10;2,02;54,11;7,16;15:15;65,9;2,27;0,8;0;1
14/02/2008;11,08;13,55;14:00;8,98;0:10;81,6;90,8;8:40;67,23;13:40;3,49;44,56;7,68;23:25;33,95;4,37;1,2;0;1,47
15/02/2008;11,55;16,51;13:00;8,16;22:00;76,4;90,8;3:00;50,28;13:30;1,86;39,79;6,39;0:41;20,48;8,65;0,6;0;1,8
16/02/2008;9,99;13,35;13:10;6,14;22:50;78,5;90,6;22:50;57,55;11:00;1,35;67,74;5,05;14:10;75,3;6,14;0;0;1,29
17/02/2008;9,63;12,08;14:30;7,36;4:40;80;93,5;22:30;66,77;15:50;2,28;49,54;6,57;14:45;71,6;5,08;1,6;0;1,24
