Fecha;Temp Media (ºC);Temp Max (ºC);Hora Temp Max;Temp Mínima (ºC);Hora Temp Min;Humedad Media (%);Humedad Max (%);Hora Hum Max;Humedad Min (%);Hora Hum Mín;Velviento (m/s);DirViento (º);VelVientoMax (m/s);Hora VelMax;Dir viento Vel Max (º);Radiación (MJ/m2);Precipitación (mm);PePMon;EtPMon
01/01/2004;10,58;17,32;13:10;3,71;5:50;65,31;84,3;6:20;27,2;13:00;1,41;139,5;4,95;12:26;225,3;10;0;0;1,56
02/01/2004;12,46;16,9;13:00;9,72;7:40;53,75;74;7:40;34,2;17:30;1,6;25,46;5,75;20:54;331,9;9,06;0;0;1,69
03/01/2004;9,28;13,54;14:50;1,76;0:00;50,33;83,9;0:00;31,2;14:10;1,93;47,06;6,98;12:17;350,1;10,16;0;0;1,56
04/01/2004;8,42;16,04;15:00;-0,06;3:30;64,87;87,5;0:20;40,67;15:20;1,3;93,6;5,35;15:33;339;8,12;0;0;1,3
05/01/2004;8,26;15,82;12:50;2,51;4:40;71,4;94,6;23:40;41,54;13:30;1,37;152,1;5,01;12:21;252,2;10,61;0;0;1,29
06/01/2004;7,41;16,63;14:30;-0,2;6:40;71,9;93,9;0:00;33,9;14:30;1,22;81,2;4,12;15:31;251,6;10,86;0;0;1,35
07/01/2004;8,29;15,76;14:20;3,1;1:30;60,89;86,4;20:20;30,52;13:50;1,03;54,57;3,52;17:08;214;8,84;0;0;1,26
08/01/2004;11,56;19,99;15:00;4,66;8:00;62,55;80,5;8:10;36,46;14:10;1,13;153,1;4,14;14:19;294,7;10,06;0;0;1,48
09/01/2004;12,86;18,87;15:10;5,53;7:00;68,52;89,2;7:20;47,03;15:10;1,13;127,2;7,89;14:40;323,5;5,95;0;0;1,28
10/01/2004;14,32;22,56;14:50;8,17;0:00;65,27;83,3;5:30;36,38;13:20;1,28;86,3;5,81;10:22;351,7;10,38;0;0;1,75
11/01/2004;12,79;21,16;15:20;6,2;7:10;66,88;86;23:40;42,02;15:20;1,2;70,9;3,75;15:36;62,45;9,46;0;0;1,54
